"STATISTIC","Statistic Label","TLIST(D1)","Daily","C03634V04374","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D02","2020 October 02","10","Daily total","Euro Thousand","236404"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D02","2020 October 02","20","Seven day rolling total","Euro Thousand","1331931"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D03","2020 October 03","10","Daily total","Euro Thousand","185334"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D03","2020 October 03","20","Seven day rolling total","Euro Thousand","1323662"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D04","2020 October 04","10","Daily total","Euro Thousand","120047"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D04","2020 October 04","20","Seven day rolling total","Euro Thousand","1313775"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D05","2020 October 05","10","Daily total","Euro Thousand","171971"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D05","2020 October 05","20","Seven day rolling total","Euro Thousand","1308534"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D06","2020 October 06","10","Daily total","Euro Thousand","185254"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D06","2020 October 06","20","Seven day rolling total","Euro Thousand","1313761"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D07","2020 October 07","10","Daily total","Euro Thousand","174379"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D07","2020 October 07","20","Seven day rolling total","Euro Thousand","1297668"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D08","2020 October 08","10","Daily total","Euro Thousand","207703"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D08","2020 October 08","20","Seven day rolling total","Euro Thousand","1281092"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D09","2020 October 09","10","Daily total","Euro Thousand","232079"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D09","2020 October 09","20","Seven day rolling total","Euro Thousand","1276767"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D10","2020 October 10","10","Daily total","Euro Thousand","181117"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D10","2020 October 10","20","Seven day rolling total","Euro Thousand","1272549"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D11","2020 October 11","10","Daily total","Euro Thousand","117365"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D11","2020 October 11","20","Seven day rolling total","Euro Thousand","1269868"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D12","2020 October 12","10","Daily total","Euro Thousand","161521"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D12","2020 October 12","20","Seven day rolling total","Euro Thousand","1259418"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D13","2020 October 13","10","Daily total","Euro Thousand","169656"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D13","2020 October 13","20","Seven day rolling total","Euro Thousand","1243820"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D14","2020 October 14","10","Daily total","Euro Thousand","162734"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D14","2020 October 14","20","Seven day rolling total","Euro Thousand","1232176"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D15","2020 October 15","10","Daily total","Euro Thousand","202259"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D15","2020 October 15","20","Seven day rolling total","Euro Thousand","1226731"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D16","2020 October 16","10","Daily total","Euro Thousand","226045"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D16","2020 October 16","20","Seven day rolling total","Euro Thousand","1220698"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D17","2020 October 17","10","Daily total","Euro Thousand","183733"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D17","2020 October 17","20","Seven day rolling total","Euro Thousand","1223314"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D18","2020 October 18","10","Daily total","Euro Thousand","119401"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D18","2020 October 18","20","Seven day rolling total","Euro Thousand","1225350"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D19","2020 October 19","10","Daily total","Euro Thousand","174294"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D19","2020 October 19","20","Seven day rolling total","Euro Thousand","1238123"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D20","2020 October 20","10","Daily total","Euro Thousand","200943"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D20","2020 October 20","20","Seven day rolling total","Euro Thousand","1269410"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D21","2020 October 21","10","Daily total","Euro Thousand","207401"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D21","2020 October 21","20","Seven day rolling total","Euro Thousand","1314076"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D22","2020 October 22","10","Daily total","Euro Thousand","189726"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D22","2020 October 22","20","Seven day rolling total","Euro Thousand","1301544"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D23","2020 October 23","10","Daily total","Euro Thousand","221414"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D23","2020 October 23","20","Seven day rolling total","Euro Thousand","1296912"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D24","2020 October 24","10","Daily total","Euro Thousand","158163"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D24","2020 October 24","20","Seven day rolling total","Euro Thousand","1271342"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D25","2020 October 25","10","Daily total","Euro Thousand","102702"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D25","2020 October 25","20","Seven day rolling total","Euro Thousand","1254643"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D26","2020 October 26","10","Daily total","Euro Thousand","110062"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D26","2020 October 26","20","Seven day rolling total","Euro Thousand","1190410"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D27","2020 October 27","10","Daily total","Euro Thousand","166111"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D27","2020 October 27","20","Seven day rolling total","Euro Thousand","1155579"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D28","2020 October 28","10","Daily total","Euro Thousand","171017"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D28","2020 October 28","20","Seven day rolling total","Euro Thousand","1119195"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D29","2020 October 29","10","Daily total","Euro Thousand","208431"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D29","2020 October 29","20","Seven day rolling total","Euro Thousand","1137900"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D30","2020 October 30","10","Daily total","Euro Thousand","239466"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D30","2020 October 30","20","Seven day rolling total","Euro Thousand","1155952"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D31","2020 October 31","10","Daily total","Euro Thousand","159135"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M10D31","2020 October 31","20","Seven day rolling total","Euro Thousand","1156924"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D01","2020 November 01","10","Daily total","Euro Thousand","109689"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D01","2020 November 01","20","Seven day rolling total","Euro Thousand","1163911"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D02","2020 November 02","10","Daily total","Euro Thousand","160458"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D02","2020 November 02","20","Seven day rolling total","Euro Thousand","1214307"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D03","2020 November 03","10","Daily total","Euro Thousand","181612"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D03","2020 November 03","20","Seven day rolling total","Euro Thousand","1229808"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D04","2020 November 04","10","Daily total","Euro Thousand","165827"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D04","2020 November 04","20","Seven day rolling total","Euro Thousand","1224618"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D05","2020 November 05","10","Daily total","Euro Thousand","199158"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D05","2020 November 05","20","Seven day rolling total","Euro Thousand","1215346"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D06","2020 November 06","10","Daily total","Euro Thousand","221805"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D06","2020 November 06","20","Seven day rolling total","Euro Thousand","1197685"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D07","2020 November 07","10","Daily total","Euro Thousand","161938"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D07","2020 November 07","20","Seven day rolling total","Euro Thousand","1200488"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D08","2020 November 08","10","Daily total","Euro Thousand","109141"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D08","2020 November 08","20","Seven day rolling total","Euro Thousand","1199941"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D09","2020 November 09","10","Daily total","Euro Thousand","158337"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D09","2020 November 09","20","Seven day rolling total","Euro Thousand","1197819"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D10","2020 November 10","10","Daily total","Euro Thousand","168689"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D10","2020 November 10","20","Seven day rolling total","Euro Thousand","1184896"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D11","2020 November 11","10","Daily total","Euro Thousand","163215"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D11","2020 November 11","20","Seven day rolling total","Euro Thousand","1182283"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D12","2020 November 12","10","Daily total","Euro Thousand","198944"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D12","2020 November 12","20","Seven day rolling total","Euro Thousand","1182069"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D13","2020 November 13","10","Daily total","Euro Thousand","223320"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D13","2020 November 13","20","Seven day rolling total","Euro Thousand","1183583"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D14","2020 November 14","10","Daily total","Euro Thousand","165309"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D14","2020 November 14","20","Seven day rolling total","Euro Thousand","1186953"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D15","2020 November 15","10","Daily total","Euro Thousand","110592"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D15","2020 November 15","20","Seven day rolling total","Euro Thousand","1188404"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D16","2020 November 16","10","Daily total","Euro Thousand","155896"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D16","2020 November 16","20","Seven day rolling total","Euro Thousand","1185963"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D17","2020 November 17","10","Daily total","Euro Thousand","169302"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D17","2020 November 17","20","Seven day rolling total","Euro Thousand","1186576"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D18","2020 November 18","10","Daily total","Euro Thousand","166981"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D18","2020 November 18","20","Seven day rolling total","Euro Thousand","1190343"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D19","2020 November 19","10","Daily total","Euro Thousand","198826"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D19","2020 November 19","20","Seven day rolling total","Euro Thousand","1190225"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D20","2020 November 20","10","Daily total","Euro Thousand","227129"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D20","2020 November 20","20","Seven day rolling total","Euro Thousand","1194034"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D21","2020 November 21","10","Daily total","Euro Thousand","169469"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D21","2020 November 21","20","Seven day rolling total","Euro Thousand","1198194"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D22","2020 November 22","10","Daily total","Euro Thousand","119402"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D22","2020 November 22","20","Seven day rolling total","Euro Thousand","1207004"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D23","2020 November 23","10","Daily total","Euro Thousand","168392"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D23","2020 November 23","20","Seven day rolling total","Euro Thousand","1219500"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D24","2020 November 24","10","Daily total","Euro Thousand","182815"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D24","2020 November 24","20","Seven day rolling total","Euro Thousand","1233014"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D25","2020 November 25","10","Daily total","Euro Thousand","190736"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D25","2020 November 25","20","Seven day rolling total","Euro Thousand","1256769"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D26","2020 November 26","10","Daily total","Euro Thousand","234758"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D26","2020 November 26","20","Seven day rolling total","Euro Thousand","1292700"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D27","2020 November 27","10","Daily total","Euro Thousand","300478"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D27","2020 November 27","20","Seven day rolling total","Euro Thousand","1366049"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D28","2020 November 28","10","Daily total","Euro Thousand","199223"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D28","2020 November 28","20","Seven day rolling total","Euro Thousand","1395803"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D29","2020 November 29","10","Daily total","Euro Thousand","140353"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D29","2020 November 29","20","Seven day rolling total","Euro Thousand","1416755"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D30","2020 November 30","10","Daily total","Euro Thousand","206037"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M11D30","2020 November 30","20","Seven day rolling total","Euro Thousand","1454400"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D01","2020 December 01","10","Daily total","Euro Thousand","252176"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D01","2020 December 01","20","Seven day rolling total","Euro Thousand","1523761"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D02","2020 December 02","10","Daily total","Euro Thousand","232796"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D02","2020 December 02","20","Seven day rolling total","Euro Thousand","1565821"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D03","2020 December 03","10","Daily total","Euro Thousand","256021"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D03","2020 December 03","20","Seven day rolling total","Euro Thousand","1587084"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D04","2020 December 04","10","Daily total","Euro Thousand","277152"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D04","2020 December 04","20","Seven day rolling total","Euro Thousand","1563758"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D05","2020 December 05","10","Daily total","Euro Thousand","225641"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D05","2020 December 05","20","Seven day rolling total","Euro Thousand","1590176"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D06","2020 December 06","10","Daily total","Euro Thousand","156043"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D06","2020 December 06","20","Seven day rolling total","Euro Thousand","1605866"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D07","2020 December 07","10","Daily total","Euro Thousand","205496"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D07","2020 December 07","20","Seven day rolling total","Euro Thousand","1605324"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D08","2020 December 08","10","Daily total","Euro Thousand","226897"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D08","2020 December 08","20","Seven day rolling total","Euro Thousand","1580046"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D09","2020 December 09","10","Daily total","Euro Thousand","221182"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D09","2020 December 09","20","Seven day rolling total","Euro Thousand","1568432"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D10","2020 December 10","10","Daily total","Euro Thousand","263727"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D10","2020 December 10","20","Seven day rolling total","Euro Thousand","1576139"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D11","2020 December 11","10","Daily total","Euro Thousand","286784"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D11","2020 December 11","20","Seven day rolling total","Euro Thousand","1585771"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D12","2020 December 12","10","Daily total","Euro Thousand","226593"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D12","2020 December 12","20","Seven day rolling total","Euro Thousand","1586723"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D13","2020 December 13","10","Daily total","Euro Thousand","155265"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D13","2020 December 13","20","Seven day rolling total","Euro Thousand","1585945"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D14","2020 December 14","10","Daily total","Euro Thousand","209558"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D14","2020 December 14","20","Seven day rolling total","Euro Thousand","1590008"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D15","2020 December 15","10","Daily total","Euro Thousand","227722"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D15","2020 December 15","20","Seven day rolling total","Euro Thousand","1590832"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D16","2020 December 16","10","Daily total","Euro Thousand","223962"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D16","2020 December 16","20","Seven day rolling total","Euro Thousand","1593612"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D17","2020 December 17","10","Daily total","Euro Thousand","266676"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D17","2020 December 17","20","Seven day rolling total","Euro Thousand","1596560"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D18","2020 December 18","10","Daily total","Euro Thousand","310465"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D18","2020 December 18","20","Seven day rolling total","Euro Thousand","1620242"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D19","2020 December 19","10","Daily total","Euro Thousand","244274"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D19","2020 December 19","20","Seven day rolling total","Euro Thousand","1637922"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D20","2020 December 20","10","Daily total","Euro Thousand","174747"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D20","2020 December 20","20","Seven day rolling total","Euro Thousand","1657405"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D21","2020 December 21","10","Daily total","Euro Thousand","263787"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D21","2020 December 21","20","Seven day rolling total","Euro Thousand","1711633"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D22","2020 December 22","10","Daily total","Euro Thousand","325577"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D22","2020 December 22","20","Seven day rolling total","Euro Thousand","1809488"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D23","2020 December 23","10","Daily total","Euro Thousand","348520"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D23","2020 December 23","20","Seven day rolling total","Euro Thousand","1934047"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D24","2020 December 24","10","Daily total","Euro Thousand","249358"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D24","2020 December 24","20","Seven day rolling total","Euro Thousand","1916729"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D25","2020 December 25","10","Daily total","Euro Thousand","41259"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D25","2020 December 25","20","Seven day rolling total","Euro Thousand","1647522"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D26","2020 December 26","10","Daily total","Euro Thousand","72112"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D26","2020 December 26","20","Seven day rolling total","Euro Thousand","1475359"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D27","2020 December 27","10","Daily total","Euro Thousand","91371"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D27","2020 December 27","20","Seven day rolling total","Euro Thousand","1391983"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D28","2020 December 28","10","Daily total","Euro Thousand","113462"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D28","2020 December 28","20","Seven day rolling total","Euro Thousand","1241659"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D29","2020 December 29","10","Daily total","Euro Thousand","136813"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D29","2020 December 29","20","Seven day rolling total","Euro Thousand","1052895"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D30","2020 December 30","10","Daily total","Euro Thousand","168507"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D30","2020 December 30","20","Seven day rolling total","Euro Thousand","872881"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D31","2020 December 31","10","Daily total","Euro Thousand","186824"
"CBM03C04","Debit Card Volumes - Gross New Spending","2020M12D31","2020 December 31","20","Seven day rolling total","Euro Thousand","810348"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D01","2021 January 01","10","Daily total","Euro Thousand","73242"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D01","2021 January 01","20","Seven day rolling total","Euro Thousand","842331"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D02","2021 January 02","10","Daily total","Euro Thousand","114636"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D02","2021 January 02","20","Seven day rolling total","Euro Thousand","884855"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D03","2021 January 03","10","Daily total","Euro Thousand","88174"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D03","2021 January 03","20","Seven day rolling total","Euro Thousand","881657"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D04","2021 January 04","10","Daily total","Euro Thousand","150286"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D04","2021 January 04","20","Seven day rolling total","Euro Thousand","918481"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D05","2021 January 05","10","Daily total","Euro Thousand","172589"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D05","2021 January 05","20","Seven day rolling total","Euro Thousand","954258"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D06","2021 January 06","10","Daily total","Euro Thousand","164251"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D06","2021 January 06","20","Seven day rolling total","Euro Thousand","950002"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D07","2021 January 07","10","Daily total","Euro Thousand","178883"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D07","2021 January 07","20","Seven day rolling total","Euro Thousand","942061"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D08","2021 January 08","10","Daily total","Euro Thousand","194548"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D08","2021 January 08","20","Seven day rolling total","Euro Thousand","1063367"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D09","2021 January 09","10","Daily total","Euro Thousand","134694"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D09","2021 January 09","20","Seven day rolling total","Euro Thousand","1083426"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D10","2021 January 10","10","Daily total","Euro Thousand","95088"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D10","2021 January 10","20","Seven day rolling total","Euro Thousand","1090340"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D11","2021 January 11","10","Daily total","Euro Thousand","142123"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D11","2021 January 11","20","Seven day rolling total","Euro Thousand","1082177"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D12","2021 January 12","10","Daily total","Euro Thousand","150075"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D12","2021 January 12","20","Seven day rolling total","Euro Thousand","1059663"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D13","2021 January 13","10","Daily total","Euro Thousand","143422"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D13","2021 January 13","20","Seven day rolling total","Euro Thousand","1038833"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D14","2021 January 14","10","Daily total","Euro Thousand","172217"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D14","2021 January 14","20","Seven day rolling total","Euro Thousand","1032166"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D15","2021 January 15","10","Daily total","Euro Thousand","188869"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D15","2021 January 15","20","Seven day rolling total","Euro Thousand","1026488"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D16","2021 January 16","10","Daily total","Euro Thousand","138853"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D16","2021 January 16","20","Seven day rolling total","Euro Thousand","1030646"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D17","2021 January 17","10","Daily total","Euro Thousand","91669"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D17","2021 January 17","20","Seven day rolling total","Euro Thousand","1027228"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D18","2021 January 18","10","Daily total","Euro Thousand","138382"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D18","2021 January 18","20","Seven day rolling total","Euro Thousand","1023487"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D19","2021 January 19","10","Daily total","Euro Thousand","153500"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D19","2021 January 19","20","Seven day rolling total","Euro Thousand","1026913"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D20","2021 January 20","10","Daily total","Euro Thousand","151060"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D20","2021 January 20","20","Seven day rolling total","Euro Thousand","1034551"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D21","2021 January 21","10","Daily total","Euro Thousand","179486"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D21","2021 January 21","20","Seven day rolling total","Euro Thousand","1041819"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D22","2021 January 22","10","Daily total","Euro Thousand","202134"
"CBM03C04","Debit Card Volumes - Gross New Spending","2021M01D22","2021 January 22","20","Seven day rolling total","Euro Thousand","1055084"
